Date ,Returns 
8-Jan-02,-0.0126
9-Jan-02,-0.0111
10-Jan-02,-0.0006
11-Jan-02,-0.0065
14-Jan-02,-0.0228
15-Jan-02,-0.0007
16-Jan-02,-0.0065
17-Jan-02,0.0276
18-Jan-02,-0.0018
21-Jan-02,-0.006
22-Jan-02,0.0071
23-Jan-02,0.0184
24-Jan-02,0.011
25-Jan-02,-0.0022
28-Jan-02,0.0028
29-Jan-02,-0.0009
30-Jan-02,-0.0131
31-Jan-02,0.0024
1-Feb-02,-0.0021
4-Feb-02,-0.0022
5-Feb-02,-0.0119
6-Feb-02,-0.0046
7-Feb-02,-0.0045
8-Feb-02,-0.007
11-Feb-02,-0.0046
12-Feb-02,-0.0042
13-Feb-02,-0.0034
14-Feb-02,0.0012
15-Feb-02,-0.0032
18-Feb-02,-0.0133
19-Feb-02,-0.0148
20-Feb-02,-0.0031
21-Feb-02,-0.0057
22-Feb-02,-0.0173
25-Feb-02,0.0045
26-Feb-02,0.019
27-Feb-02,-0.0114
28-Feb-02,-0.0243
1-Mar-02,0.0129
4-Mar-02,0.0245
5-Mar-02,-0.0007
6-Mar-02,-0.0025
7-Mar-02,0.0054
8-Mar-02,0.0043
11-Mar-02,-0.0052
12-Mar-02,-0.0172
13-Mar-02,-0.0032
14-Mar-02,0.0048
15-Mar-02,0.0002
19-Mar-02,-0.0144
20-Mar-02,-0.0074
21-Mar-02,-0.0055
22-Mar-02,-0.0065
26-Mar-02,-0.0077
27-Mar-02,-0.005
28-Mar-02,-0.0045
2-Apr-02,-0.0339
3-Apr-02,-0.0116
4-Apr-02,-0.0019
5-Apr-02,0.0087
8-Apr-02,-0.0201
9-Apr-02,0.0161
10-Apr-02,-0.011
11-Apr-02,-0.0007
12-Apr-02,-0.0016
15-Apr-02,-0.0205
16-Apr-02,0.0007
17-Apr-02,0.0181
18-Apr-02,0.0007
19-Apr-02,0.0095
22-Apr-02,-0.01
23-Apr-02,-0.0044
24-Apr-02,0.0082
25-Apr-02,-0.0087
26-Apr-02,0.0058
29-Apr-02,0.0044
30-Apr-02,-0.0026
2-May-02,-0.0024
8-May-02,0.0307
9-May-02,0.0114
10-May-02,0.0092
13-May-02,0.0055
14-May-02,0.018
15-May-02,-0.0082
16-May-02,-0.0004
17-May-02,0.0169
20-May-02,0.0055
21-May-02,0.0014
22-May-02,-0.0161
23-May-02,-0.0089
24-May-02,-0.0039
27-May-02,-0.0081
28-May-02,0.001
29-May-02,-0.0012
30-May-02,-0.0163
31-May-02,0.0147
3-Jun-02,-0.0131
4-Jun-02,-0.0083
5-Jun-02,0.014
6-Jun-02,0.0126
7-Jun-02,-0.0107
10-Jun-02,0.0062
11-Jun-02,-0.001
12-Jun-02,-0.0052
13-Jun-02,-0.0072
14-Jun-02,-0.024
17-Jun-02,-0.0045
18-Jun-02,-0.002
19-Jun-02,-0.0132
20-Jun-02,-0.0097
21-Jun-02,0.0032
25-Jun-02,0.0183
26-Jun-02,-0.0148
27-Jun-02,0.015
28-Jun-02,0.0051
1-Jul-02,-0.0097
2-Jul-02,-0.0218
3-Jul-02,-0.0055
4-Jul-02,0.0111
5-Jul-02,0.0022
8-Jul-02,0.0022
